"p_val ""avg_log2FC"" ""pct.1"" ""pct.2"" ""p_val_adj"" ""cluster"" ""gene"""
"173 0 3.05062652769846 0.943 0.066 0 ""5"" ""Or113"""
"174 0 2.49286679214237 0.778 0.04 0 ""5"" ""Or112"""
"175 0 2.26931322658092 0.7 0.031 0 ""5"" ""Or111"""
"176 0 2.24372069128351 0.697 0.033 0 ""5"" ""Or104"""
"177 7.92610292300293e-302 3.48420398248119 0.956 0.155 1.03538682483187e-297 ""5"" ""LOC5573874"""
"178 1.08461715408736e-254 1.37215986862455 0.404 0.016 1.41683538838432e-250 ""5"" ""Or105"""
"179 1.33650683861858e-215 2.16645519938629 0.764 0.118 1.74587888328746e-211 ""5"" ""LOC5577758"""
"180 1.37770582717179e-181 2.28888600093072 0.872 0.196 1.79969712203451e-177 ""5"" ""LOC5564067"""
"181 1.79229062001287e-164 2.27051385639895 0.966 0.355 2.34126923692281e-160 ""5"" ""LOC5563856"""
"182 7.95108116818734e-139 2.06708820123893 1 0.598 1.03864973300031e-134 ""5"" ""LOC5569257"""
"183 2.74683948821921e-124 1.75580736309533 0.987 0.713 3.58819642346076e-120 ""5"" ""LOC5579195"""
"184 1.65059105099568e-111 1.72181827331631 0.875 0.323 2.15616708991566e-107 ""5"" ""LOC5565389"""
"185 1.05503076652236e-102 1.52441304167753 0.976 0.762 1.37818669030816e-98 ""5"" ""LOC5564358"""
"186 2.60566241765974e-100 1.38439670529082 0.99 0.781 3.40377681618892e-96 ""5"" ""LOC5575931"""
"187 3.72563161803417e-100 1.18192113233196 1 0.974 4.86679258263803e-96 ""5"" ""LOC5566411"""
"188 5.32030476563332e-99 1.2596996546977 0.997 0.856 6.9499141153468e-95 ""5"" ""LOC5573063"""
"189 8.34626865835836e-91 1.39675052565816 0.963 0.507 1.09027307484135e-86 ""5"" ""LOC110674827"""
"190 1.31481919464638e-90 1.33253931318348 0.923 0.385 1.71754831396656e-86 ""5"" ""LOC5572771"""
"191 7.8532891465596e-90 1.32203675915273 0.62 0.159 1.02587516121508e-85 ""5"" ""LOC5579091"""
"192 6.94779118029101e-79 1.07264145557754 1 0.878 9.07589961881415e-75 ""5"" ""LOC5578520"""
"193 1.26985209784438e-78 1.04678952439307 0.293 0.04 1.65880779541411e-74 ""5"" ""LOC5569132"""
"194 1.5835101337158e-78 1.26071773484999 0.963 0.602 2.06853928767295e-74 ""5"" ""LOC5576477"""
"195 6.0398339245013e-77 1.23896026356786 0.65 0.2 7.88983505557605e-73 ""5"" ""LOC110674070"""
"196 8.52809428289013e-76 1.19891101039487 0.987 0.71 1.11402495617394e-71 ""5"" ""LOC5575755"""
