;p_val;avg_log2FC;pct.1;pct.2;p_val_adj;cluster;gene
104;3.08458607583291e-105;1.00147548410744;0.176;0.028;4.07257899592219e-101;2;Itpr
105;3.35045076886429e-105;1.20427734686106;0.606;0.266;4.42360015013153e-101;2;nolo
106;2.93552018486527e-100;1.20714349351663;0.395;0.13;3.87576730007761e-96;2;CG43850
107;5.34717974521166e-99;1.34426300114152;0.63;0.322;7.05988141760295e-95;2;CG45002
108;1.18035064867119e-98;1.04147733876307;0.804;0.484;1.55841696144058e-94;2;eys
109;3.83172580286846e-98;1.02576936462314;0.797;0.514;5.05902757752723e-94;2;Prps
110;1.15335593699914e-96;1.22061163872418;0.565;0.257;1.52277584361996e-92;2;wake
111;8.90724868644388e-96;1.28136941361846;0.347;0.106;1.17602404407119e-91;2;PVRAP
112;8.13189518711639e-95;1.26273115107514;0.739;0.472;1.07365412155498e-90;2;kek2
113;3.37553704271511e-93;1.17532842642559;0.367;0.12;4.45672155749676e-89;2;CG31690
114;5.17059100358546e-88;1.15496590851271;0.215;0.047;6.82673130203388e-84;2;lncRNA:CR45347
115;1.32557249347656e-87;1.03556273602767;0.653;0.345;1.7501533631371e-83;2;CG31637
116;4.50205763029966e-87;1.22260115513056;0.401;0.149;5.94406668928463e-83;2;CG30089
117;8.2129489905291e-87;1.2791227794078;0.668;0.357;1.08435565521956e-82;2;Mmp2
118;1.21303032503919e-86;1.38819929797144;0.202;0.042;1.60156393814924e-82;2;lncRNA:CR45332
119;1.65350120435575e-85;1.05262783784038;0.481;0.195;2.1831176401109e-81;2;CG43149
120;2.95273541642517e-80;1.15764416597844;0.319;0.102;3.89849657030615e-76;2;side-IV
121;1.2009429535026e-78;1.00895628028697;0.301;0.094;1.58560498150949e-74;2;CG18130
122;3.89431219233246e-78;1.29932846589957;0.597;0.297;5.14166038753655e-74;2;CG43373
123;1.93461365121522e-70;1.04832948522561;0.492;0.226;2.55427040369946e-66;2;ru
124;1.72898197332663e-69;1.20754424348038;0.394;0.163;2.28277489938314e-65;2;lncRNA:CR45758
125;4.52913561621828e-68;1.03205236347482;0.72;0.482;5.97981775409299e-64;2;CG42784
126;2.06497351186519e-63;1.45687834587943;0.441;0.223;2.72638452771561e-59;2;ed
127;4.81377332613525e-52;1.13274749478664;0.523;0.31;6.35562492249636e-48;2;bab1
128;9.50243823086938e-51;1.08561411702539;0.278;0.106;1.25460691962168e-46;2;CG42458
129;7.07890165920423e-47;1.1487060989941;0.288;0.12;9.34627386064735e-43;2;CadN2
130;8.90695614269008e-48;1.05722656835578;0.712;0.516;1.17598541951937e-43;3;DIP-lambda
131;0;3.10736281752276;0.82;0.189;0;4;sano
132;0;2.56890103776748;0.946;0.266;0;4;CG14142
133;0;2.4038988045115;0.874;0.224;0;4;pros
134;0;2.22047743210489;0.949;0.251;0;4;CG10185
135;0;2.19767852558198;0.878;0.212;0;4;sosie
136;0;2.15313066149029;0.773;0.146;0;4;Dhc93AB
137;0;2.0857657501547;0.588;0.102;0;4;DIP-theta
138;0;2.08479640281737;0.73;0.144;0;4;Dscam4
139;0;2.08250748638266;0.638;0.087;0;4;CG11317
140;0;2.04570909727413;0.557;0.064;0;4;CG17278
141;0;2.04518928742237;0.618;0.125;0;4;sty
142;0;1.87381486114414;0.874;0.247;0;4;CG9650
143;0;1.47199436007524;0.368;0.032;0;4;Dhc98D
144;1.1956340949716e-305;1.65082147595083;0.599;0.113;1.57859569559101e-301;4;CG13743
145;1.5906304824057e-303;2.32023141196756;0.938;0.515;2.10010942592024e-299;4;ab
146;2.3204747966365e-301;1.46398472205017;0.376;0.043;3.06372287399917e-297;4;CG15120
147;2.38020653157808e-288;2.07707523947603;0.814;0.28;3.14258668364254e-284;4;alpha-Spec
148;6.65041756911436e-288;1.84498881747704;0.726;0.184;8.78054631650169e-284;4;CG43149
149;1.4606194701449e-282;1.52215299668392;0.885;0.251;1.92845588643232e-278;4;CG9492
150;1.16021779989528e-281;1.69175577482868;0.77;0.205;1.53183556120174e-277;4;Dl
151;2.54907668281694e-280;1.60179609470842;0.663;0.145;3.3655459443232e-276;4;CG46025
152;4.64375321223621e-280;1.78734693574787;0.74;0.202;6.13114736611546e-276;4;Tl
153;3.53452358453619e-272;2.4922560917137;0.764;0.253;4.66663148866314e-268;4;beat-IIIc
154;1.48164257748829e-261;1.98517597520488;0.957;0.57;1.95621269505779e-257;4;Rbfox1
155;4.52003504418067e-258;1.41329048993543;0.327;0.038;5.96780226883174e-254;4;Dh44
156;7.94401476764079e-249;1.572166956283;0.977;0.543;1.04884826977161e-244;4;Naprt
157;2.89444871543508e-248;1.53386856244794;0.768;0.215;3.82154063898894e-244;4;Lim1
158;1.31526221271913e-246;1.82573401233531;0.842;0.291;1.73654069945307e-242;4;CG13133
159;1.34275423508473e-225;1.50003634328838;0.683;0.189;1.77283841658236e-221;4;CG34325
160;5.29883550218799e-219;1.72807510682665;0.416;0.075;6.9960525135388e-215;4;Rgk3
161;4.03169027765035e-218;1.4799689137285;0.866;0.32;5.32304067358176e-214;4;Cngl
162;2.95133862947339e-208;1.6027036702201;0.908;0.499;3.89665239249372e-204;4;Tet
163;1.88457819245895e-206;1.19982832127528;0.325;0.047;2.48820858750355e-202;4;fend
164;6.3325130843353e-206;1.32797509344357;0.395;0.069;8.3608170252479e-202;4;CG45105
165;5.77930190203247e-203;1.25552094282708;0.339;0.052;7.63041230125348e-199;4;CG12836
166;3.12802521511851e-185;1.32466833673744;0.79;0.28;4.12993169152097e-181;4;dpr10
167;2.67805030731153e-180;1.47205637983078;0.824;0.363;3.53582982074342e-176;4;CG10082
168;4.77202965036599e-179;1.17076276228378;0.278;0.039;6.30051074737822e-175;4;exu
169;1.56505890057161e-178;2.49747857176881;0.795;0.465;2.0663472664247e-174;4;Ca-alpha1T
170;1.09893840456908e-171;1.38875529399092;0.548;0.149;1.45092837555255e-167;4;lncRNA:CR44357
171;6.90281413141885e-171;1.2208063671819;0.972;0.751;9.11378549771231e-167;4;CG17684
172;7.87048558889653e-171;1.29931388737956;0.93;0.453;1.03914021230201e-166;4;l(2)41Ab
173;5.62543958977695e-167;1.41250010385686;0.848;0.447;7.42726789038251e-163;4;Plc21C
174;3.43130242636229e-163;1.86344032333834;0.963;0.797;4.53034859352613e-159;4;Pzl
175;8.73647171532236e-160;1.44412921673382;0.734;0.291;1.15347636057401e-155;4;CG43373
176;6.68666291459082e-152;1.18783229279946;0.699;0.255;8.82840104613426e-148;4;CG8086
177;3.45932144173194e-150;1.14287576299078;0.396;0.09;4.56734209951868e-146;4;CG18130
178;1.931395354945e-147;1.06035032652748;0.366;0.078;2.55002128713389e-143;4;dtr
179;2.91372459539669e-146;1.22350547732299;0.591;0.186;3.84699058330225e-142;4;Scp1
180;4.28828313023242e-146;1.06501441784109;0.385;0.086;5.66182021684586e-142;4;CG45122
181;2.32743612255606e-142;1.22351077556916;0.551;0.171;3.07291391261077e-138;4;CG13685
182;1.16636825331457e-141;1.08777370368526;0.462;0.121;1.53995600485123e-137;4;dpr6
183;4.05189537209364e-138;1.18924211659224;0.628;0.22;5.34971745977523e-134;4;ru
184;2.48062836660476e-136;1.23118480255239;0.464;0.131;3.27517363242827e-132;4;Teh4
185;6.91742718183593e-130;1.14395110962059;0.668;0.265;9.13307910817798e-126;4;CG12065
186;4.61480134824411e-129;1.13449846985296;0.503;0.158;6.0929222200867e-125;4;yuri
187;2.08102970547486e-128;1.24241299252334;0.891;0.508;2.74758352013846e-124;4;DIP-lambda
188;3.08712447563336e-122;1.89668978193012;0.464;0.15;4.07593044517872e-118;4;CG13950
189;1.07624226025495e-120;1.05128236306738;0.912;0.574;1.42096265621461e-116;4;CG45263
190;3.1492360784276e-120;1.11130135841981;0.729;0.324;4.15793639434797e-116;4;CG42342
191;1.61384657855318e-113;1.0062946840004;0.936;0.729;2.13076163766376e-109;4;Teh2
192;1.74207450033608e-111;1.00844563291983;0.385;0.104;2.30006096279372e-107;4;CG7742
193;2.53964542442477e-109;1.00447562254467;0.558;0.201;3.35309385386802e-105;4;CG4341
194;8.27185416834662e-106;1.03095792144412;0.572;0.215;1.0921329058468e-101;4;CG3726
195;8.64225681365939e-87;1.12809508908388;0.513;0.207;1.14103716710745e-82;4;CG2556
196;1.94140862913316e-81;1.35361154830368;0.753;0.463;2.5632418130445e-77;4;dpr11
197;1.94345388699085e-71;1.27692556213446;0.52;0.242;2.56594216699402e-67;4;bma
198;1.01691947032984e-65;1.03528645464912;0.585;0.288;1.34263877667649e-61;4;CG15765
199;5.21796769346863e-27;1.03660280434683;0.494;0.33;6.88928274568663e-23;4;CG45002
200;2.19163747263987e-23;1.30265307110171;0.808;0.625;2.89361895512642e-19;4;CG8369
201;0;3.10174833657429;0.573;0.093;0;5;Ir76b
202;0;2.28181009921384;0.263;0.009;0;5;Ir84a
203;1.67162277005379e-292;2.418489200476;0.761;0.19;2.20704354330202e-288;5;Sytbeta
204;1.65315262021974e-141;1.13353644902519;0.995;0.866;2.18265740447612e-137;5;Eip93F
205;9.7569857604188e-124;2.55176127245442;0.319;0.069;1.28821482994809e-119;5;Ir76a
206;1.85380879879801e-103;1.74903432883685;0.514;0.201;2.44758375705302e-99;5;Tsp47F
207;1.40627109496448e-99;1.82193894592961;0.411;0.128;1.85669972668161e-95;5;CG14431
208;4.14435380018847e-98;1.26895001893548;0.879;0.661;5.47179032238884e-94;5;CG43902
209;8.60001714357602e-93;1.30017401710346;0.804;0.622;1.13546026346634e-88;5;CG42322
210;1.3384897074308e-91;1.54441955503464;0.679;0.397;1.76720796072089e-87;5;Bx
211;4.10236322541805e-90;1.72852295983376;0.425;0.151;5.41635016651946e-86;5;Ir25a
212;1.95827449505948e-87;1.16648507140283;0.875;0.775;2.58550981582703e-83;5;B4
213;1.5623097507586e-84;1.00486665294431;0.951;0.946;2.06271756392658e-80;5;CaMKII
214;8.77890413549432e-78;1.53813506075644;0.415;0.154;1.15907871300931e-73;5;CG43737
215;5.02167264474151e-67;1.36951344400008;0.166;0.031;6.63011439285221e-63;5;Or35a
216;4.14900062080183e-55;1.26621477730654;0.619;0.436;5.47792551964465e-51;5;Eaat2
217;2.00267559572825e-50;1.41408820273247;0.553;0.372;2.64413258904001e-46;5;caps
218;2.46039094541282e-48;1.36610928491784;0.524;0.328;3.24845416522855e-44;5;beat-VII
219;6.26284831903631e-48;1.34009456958332;0.198;0.057;8.26883863562365e-44;5;GstD2
220;3.5447491575787e-47;1.2762981766225;0.464;0.263;4.68013231275116e-43;5;fid
221;7.21752372281032e-45;1.10401468024836;0.606;0.461;9.52929657122646e-41;5;Dll
222;2.37010709330296e-44;1.31183478694106;0.507;0.314;3.1292523952879e-40;5;SiaT
223;2.6479310677929e-44;1.04908202833074;0.65;0.476;3.49606338880696e-40;5;asRNA:CR44894
224;1.98747694807565e-40;1.17980512507141;0.611;0.504;2.62406581454429e-36;5;rin
225;2.47725067383653e-37;1.29985130424541;0.275;0.116;3.27071406466638e-33;5;TkR86C
226;1.67956672473776e-34;1.01120154159014;0.166;0.052;2.21753194667127e-30;5;Ir8a
227;5.0361659538143e-34;1.07765831060311;0.567;0.407;6.64924990882102e-30;5;kek3
228;3.46158152999338e-33;1.1309493869406;0.481;0.322;4.57032609405026e-29;5;CG13578
229;3.82567137564646e-33;1.16888711590538;0.249;0.101;5.05103391726602e-29;5;Wnt4
230;1.74809688719599e-24;1.07949675341207;0.374;0.234;2.30801232016487e-20;5;Fili
231;3.36353974371578e-22;1.00452450591783;0.176;0.073;4.44088152362795e-18;5;fkh
232;8.52756937354291e-15;1.04906553764378;0.333;0.23;1.12589498438887e-10;5;Hsp26
233;9.89024590986753e-15;1.05876743051722;0.213;0.124;1.30580916747981e-10;5;CG34355
234;1.44335313277279e-08;1.00700942535127;0.324;0.271;0.000190565914119991;5;l(1)G0469
235;2.39211808742657e-07;1.04679155991076;0.116;0.066;0.0031583135108293;5;Muc14A
236;0;2.82285966349503;0.866;0.118;0;6;CG3339
237;0;2.78256937489504;0.768;0.158;0;6;nAChRalpha5
238;0;2.41652459767661;0.541;0.037;0;6;lncRNA:CR45347
239;0;2.12153084893859;0.566;0.074;0;6;Ets65A
240;0;1.93309670266064;0.392;0.034;0;6;RunxA
241;4.34034605285341e-280;1.54512423183795;0.356;0.034;5.73055889358236e-276;6;lncRNA:CR46348
242;1.67725610092433e-274;1.28681749218685;0.225;0.012;2.21448123005039e-270;6;lncRNA:CR44909
243;2.13504606631458e-268;2.07307376083055;0.733;0.171;2.81890132135513e-264;6;CG32204
244;8.60396774632222e-266;2.20733500826659;0.633;0.129;1.13598186154692e-261;6;Frq2
245;2.02696524118095e-225;1.70553480387017;0.86;0.258;2.67620220793121e-221;6;CG9492
246;2.75351236785684e-225;1.76744246717208;0.857;0.254;3.63546237928138e-221;6;CG9650
247;2.68957845001328e-223;1.82436729346031;0.989;0.547;3.55105042755253e-219;6;Naprt
248;6.60967070776819e-223;1.88168960623695;0.935;0.394;8.72674823546635e-219;6;foi
